CRN CTYPE CODE RSEAT STIME ETIME DAY SEM SUBJ 
44051 Tut ELEE3260U 15 1540 1700 3 201509 ELEE 
44051 Tut ELEE3260U 15 1540 1700 8 201509 ELEE 
43315 Lec ELEE4310U 23 0810 0930 4 201509 ELEE 
43315 Lec ELEE4310U 23 0940 1100 2 201509 ELEE 
43315 Lec ELEE4310U 23 0810 0930 9 201509 ELEE 
43315 Lec ELEE4310U 23 0940 1100 7 201509 ELEE 
43317 Lab ELEE4310U 8 1110 1300 5 201509 ELEE 
43318 Lab ELEE4310U 15 1110 1300 10 201509 ELEE 
43320 Tut ELEE4310U 23 1310 1400 4 201509 ELEE 
43320 Tut ELEE4310U 23 1310 1400 9 201509 ELEE 
43321 Lec ELEE4350U 23 0940 1100 10 201509 ELEE 
43321 Lec ELEE4350U 23 0810 0930 7 201509 ELEE 
43321 Lec ELEE4350U 23 0940 1100 5 201509 ELEE 
43321 Lec ELEE4350U 23 0810 0930 2 201509 ELEE 
43322 Lab ELEE4350U 16 1410 1600 2 201509 ELEE 
43323 Lab ELEE4350U 7 1310 1500 10 201509 ELEE 
43324 Tut ELEE4350U 23 1110 1200 9 201509 ELEE 
43324 Tut ELEE4350U 23 1110 1200 4 201509 ELEE 
43663 Lec ELEE4420U 16 1410 1530 6 201509 ELEE 
43663 Lec ELEE4420U 16 1540 1700 4 201509 ELEE 
43663 Lec ELEE4420U 16 1410 1530 1 201509 ELEE 
43663 Lec ELEE4420U 16 1540 1700 9 201509 ELEE 
43664 Tut ELEE4420U 16 1410 1530 4 201509 ELEE 
43664 Tut ELEE4420U 16 1410 1530 9 201509 ELEE 
43665 Lab ELEE4420U 0 1110 1400 3 201509 ELEE 
43666 Lab ELEE4420U 16 1110 1400 7 201509 ELEE 
43667 Lab ELEE4420U 0 1110 1400 2 201509 ELEE 
43932 Lab ELEE4420U 0 1110 1400 8 201509 ELEE 
